"Ad ID","Campaign","Angle","Primary Text","Headline","Description","Call To Action","Audience","Creative File"
"1","Damage Repair & Restore","Years of damage","Heat tools, hard water, years of colour. Your hair has been through a lot, and it tends to show. The Ivy Bee Shampoo & Restore gets to work from the very first wash, building strength back into brittle, dull ends until they feel soft again. It's botanical, it's gentle on your scalp, and honestly, your hair has earned it.","Repair Years Of Damage","Botanical hair care that restores.","Shop Now","Women aged 28-60","creatives/ad-01.svg"
"2","Damage Repair & Restore","Split ends and breakage","Strands snapping every time you brush? Split ends that just won't quit? Our Hair Treatment sinks in deep to repair and seal, so your hair feels smoother and stronger after a single use. It's the kind of result you'd usually book a salon for, now sitting quietly in your shower.","Stronger Hair, One Treatment","Deep repair, salon-level results.","Shop Now","Women aged 28-60","creatives/ad-02.svg"
"3","Damage Repair & Restore","3-step system","If your hair feels rougher than it used to, you're not imagining it. Our Restore range works as a team. Shampoo, Conditioner and Treatment, all building back softness and shine, with no silicones or harsh sulphates getting in the way. This is the kind of repair you can actually feel.","The 3-Step Restore Ritual","Wash, condition, treat. Transform.","Learn More","Women aged 28-60","creatives/ad-03.svg"
"4","Damage Repair & Restore","Scalp and fullness","Finding more hair in your brush than you'd like? Let's look after what you've got. The Ivy Bee feeds your scalp with botanicals and strengthens every strand, so your hair feels fuller, healthier and a good deal more resilient, wash after wash.","Stronger From The Root","Look after your scalp, love your hair.","Shop Now","Women aged 28-60","creatives/ad-04.svg"
"5","Damage Repair & Restore","First-wash difference","One wash. That was all it took to feel the difference. The Ivy Bee Shampoo & Restore left my hair softer than it's felt in years. No heavy residue, nothing weighing it down, just clean, healthy hair I actually want to touch. Go on, see for yourself.","Feel The Difference On Day One","Premium repair in every bottle.","Shop Now","Women aged 28-60","creatives/ad-05.svg"
"6","Clean & Natural Ingredients","Free-from","What we leave out matters just as much as what we put in. There are no sulphates, no parabens and no silicones in The Ivy Bee. Just botanical ivy, honey-derived nutrients and plant actives that your hair will genuinely thank you for.","Clean Hair Care, Done Right","No sulphates. No parabens. No nonsense.","Learn More","Women aged 28-60","creatives/ad-06.svg"
"7","Clean & Natural Ingredients","Read the label","When did you last read the back of your shampoo bottle? If you can't pronounce half the list, it might be time for a change. The Ivy Bee keeps things simple and botanical, powered by ivy and a little inspiration from the bees. Kind to your hair, and kind to your scalp.","Ingredients You Can Trust","Botanical care, made transparently.","Shop Now","Women aged 28-60","creatives/ad-07.svg"
"8","Clean & Natural Ingredients","Powered by nature","Honestly, nature just does it better. We blend ivy extract and honey-derived nutrients into every bottle to gently cleanse, deeply nourish and bring your hair's natural shine back to life. No harsh chemicals needed.","Powered By Nature","Ivy and honey-inspired hair care.","Shop Now","Women aged 28-60","creatives/ad-08.svg"
"9","Clean & Natural Ingredients","Sensitive scalp","If your scalp tends to get a bit sensitive, this one's for you. The Ivy Bee skips the irritating sulphates and swaps in soothing botanicals instead. It cleanses beautifully without stripping, so your scalp stays calm and your hair stays soft. Gentle enough for every single day.","Gentle Enough For Every Day","Soothing, sulphate-free, scalp-kind.","Shop Now","Women aged 28-60","creatives/ad-09.svg"
"10","Clean & Natural Ingredients","Clean beauty crossover","Your skincare is clean, so why settle for less from your hair care? Give your hair the same standard you give your skin. The Ivy Bee is botanical, thoughtfully made and free from all the harsh stuff. Premium care, the natural way.","Clean Beauty For Your Hair","The botanical upgrade your routine needs.","Learn More","Women aged 28-60","creatives/ad-10.svg"
